titulo,precio,habitaciones,m2,altura,zona
"Piso en Calle del Nenúfar, Berruguete, Madrid",2.700€/mes,4,110,Planta 2ª exterior sin ascensor,"Berruguete, Madrid"
"Estudio en Calle de Oviedo, Cuatro Caminos, Madrid",1.500€/mes,N/A,37,N/A,"Cuatro Caminos, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, 15, Cuatro Caminos, Madrid",2.000€/mes,2,75,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle de Gonzalo Herrero, 33, Valdeacederas, Madrid",900€/mes,N/A,22,Bajo interior sin ascensor,"Valdeacederas, Madrid"
"Estudio en Calle de Almansa, Bellas Vistas, Madrid",750€/mes,N/A,10,N/A,"Bellas Vistas, Madrid"
"Estudio en Calle de Francos Rodríguez, Berruguete, Madrid",825€/mes,N/A,30,Planta 2ª interior sin ascensor,"Berruguete, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.500€/mes,2,102,Planta 2ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, Cuatro Caminos, Madrid",2.300€/mes,2,88,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Modesto Lafuente, Nuevos Ministerios-Ríos Rosas, Madrid",3.600€/mes,5,183,Planta 6ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de Modesto Lafuente, Nuevos Ministerios-Ríos Rosas, Madrid",3.600€/mes,3,172,Planta 2ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Ático en Calle de Asunción Castell, Cuatro Caminos, Madrid",2.060€/mes,1,62,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Edgar Neville, Cuatro Caminos, Madrid",2.450€/mes,2,110,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Avenida del Santo Ángel de la Guarda, Valdezarza, Madrid",1.550€/mes,2,70,Planta 5ª exterior con ascensor,"Valdezarza, Madrid"
"Piso en Calle de Robledo, Valdeacederas, Madrid",1.760€/mes,1,50,N/A,"Valdeacederas, Madrid"
"Estudio en Calle Pinos Alta, Ventilla-Almenara, Madrid",1.900€/mes,N/A,35,N/A,"Ventilla-Almenara, Madrid"
"Piso en Calle de Bravo Murillo, Valdeacederas, Madrid",3.300€/mes,3,75,Planta 2ª exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle Manchegos, Valdeacederas, Madrid",1.950€/mes,1,65,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Jaén, Cuatro Caminos, Madrid",2.045€/mes,3,96,Planta 1ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Juan de Olías, Cuatro Caminos, Madrid",2.920€/mes,2,65,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Sánchez Preciado, Valdezarza, Madrid",1.100€/mes,2,71,Planta 3ª exterior sin ascensor,"Valdezarza, Madrid"
"Piso en Calle de la Infanta Mercedes, Cuzco-Castillejos, Madrid",1.400€/mes,1,60,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Estudio en Calle de Alvarado, Bellas Vistas, Madrid",1.000€/mes,N/A,41,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Aranjuez, Bellas Vistas, Madrid",1.265€/mes,2,54,Planta 3ª exterior con ascensor,"Bellas Vistas, Madrid"
"Ático en Calle del Pensamiento, Cuzco-Castillejos, Madrid",2.400€/mes,3,105,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle Marqués de Viana, 101, Berruguete, Madrid",1.450€/mes,2,68,Planta 9ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Valdeacederas, Madrid",1.800€/mes,2,80,Planta 1ª exterior sin ascensor,Madrid
"Piso en Calle de Tiziano, Cuatro Caminos, Madrid",2.100€/mes,3,120,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Vallehermoso, Madrid",2.100€/mes,2,80,Planta 5ª exterior con ascensor,Madrid
"Piso en Calle de Juan de Olías, Cuatro Caminos, Madrid",1.395€/mes,2,45,Planta 3ª interior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de los Artistas, Cuatro Caminos, Madrid",3.880€/mes,2,81,N/A,"Cuatro Caminos, Madrid"
"Piso en Calle de Maudes, Nuevos Ministerios-Ríos Rosas, Madrid",1.990€/mes,4,97,Planta 5ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Estudio en Calle de Berruguete, Berruguete, Madrid",900€/mes,N/A,35,N/A,"Berruguete, Madrid"
"Piso en Calle de Berruguete, Berruguete, Madrid",1.950€/mes,1,34,Planta 2ª interior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de Sor Ángela de la Cruz, Cuzco-Castillejos, Madrid",1.650€/mes,1,41,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Dulcinea, Cuatro Caminos, Madrid",1.250€/mes,1,45,Bajo exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en CL Aviador Zorita, Cuatro Caminos, Madrid",1.800€/mes,2,97,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Dulcinea, Cuatro Caminos, Madrid",1.350€/mes,1,45,Bajo exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Orense, Cuzco-Castillejos, Madrid",2.250€/mes,2,87,Planta 9ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Edgar Neville, Cuatro Caminos, Madrid",1.985€/mes,1,74,Planta 3ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de María de Guzmán, Nuevos Ministerios-Ríos Rosas, Madrid",3.200€/mes,3,160,Planta 6ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle Hermano Gárate, Cuzco-Castillejos, Madrid",1.805€/mes,2,77,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Orense, Cuatro Caminos, Madrid",2.590€/mes,2,65,Planta 12ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Edgar Neville, Cuatro Caminos, Madrid",2.840€/mes,2,101,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid",2.835€/mes,2,90,Planta 1ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de Edgar Neville, Cuatro Caminos, Madrid",2.440€/mes,2,101,Planta 6ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Rosario Romero, Ventilla-Almenara, Madrid",1.500€/mes,2,60,Bajo exterior con ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle Pinos Alta, Ventilla-Almenara, Madrid",2.450€/mes,1,50,Planta 4ª exterior con ascensor,"Ventilla-Almenara, Madrid"
"Ático en Calle de Orense, Cuatro Caminos, Madrid",2.780€/mes,3,120,Planta 7ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Edgar Neville, Cuatro Caminos, Madrid",2.920€/mes,2,110,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle del Pensamiento, Cuzco-Castillejos, Madrid",3.425€/mes,3,147,Planta 2ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del Limonero, Cuzco-Castillejos, Madrid",2.100€/mes,2,60,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de la Alfalfa, Valdeacederas, Madrid",3.105€/mes,3,93,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.565€/mes,2,57,Planta 6ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.430€/mes,2,57,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.889€/mes,2,64,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Ático en Calle de Dulcinea, Cuatro Caminos, Madrid",2.160€/mes,1,68,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Sófora, Cuzco-Castillejos, Madrid",2.370€/mes,2,172,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",3.687€/mes,2,57,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Dulcinea, Cuatro Caminos, Madrid",1.400€/mes,1,50,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Ático en Travesía María Zayas, Berruguete, Madrid",1.790€/mes,2,76,Planta 3ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.295€/mes,1,45,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de la Alfalfa, Valdeacederas, Madrid",2.700€/mes,3,89,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.430€/mes,1,45,Planta 6ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.025€/mes,1,45,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Orense, Cuzco-Castillejos, Madrid",1.700€/mes,1,90,Planta 3ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.700€/mes,2,64,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.610€/mes,2,64,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, 39, Cuatro Caminos, Madrid",3.700€/mes,3,101,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle salamanca, 20, Cuatro Caminos, Madrid",2.300€/mes,2,135,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Salamanca, 20, Cuatro Caminos, Madrid",1.700€/mes,1,58,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle del Capitán Blanco Argibay, 107, Valdeacederas, Madrid",1.200€/mes,1,60,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Avenida del Doctor Federico Rubio y Galí, Bellas Vistas, Madrid",1.800€/mes,2,85,Planta 2ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Salamanca, 20, Cuatro Caminos, Madrid",1.750€/mes,1,55,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Alvarado, Bellas Vistas, Madrid",1.875€/mes,3,100,Planta 3ª interior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",1.750€/mes,2,80,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Modesto Lafuente, Nuevos Ministerios-Ríos Rosas, Madrid",3.000€/mes,4,120,Planta 4ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Dúplex en Calle de Dulcinea, 13, Cuatro Caminos, Madrid",1.600€/mes,2,66,N/A,"Cuatro Caminos, Madrid"
"Estudio en Calle de Bravo Murillo, 302, Cuzco-Castillejos, Madrid",1.380€/mes,N/A,40,N/A,"Cuzco-Castillejos, Madrid"
"Dúplex en Calle de las Matas, 13, Berruguete, Madrid",1.700€/mes,1,50,N/A,"Berruguete, Madrid"
"Dúplex en Calle de las Matas, 13, Berruguete, Madrid",1.700€/mes,1,50,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle Santa Valentina, 28, Valdeacederas, Madrid",1.550€/mes,1,70,Planta 1ª interior sin ascensor,"Valdeacederas, Madrid"
"Dúplex en Calle de las Matas, 13, Berruguete, Madrid",1.700€/mes,1,50,Bajo exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle del Aviador Zorita, Cuatro Caminos, Madrid",2.050€/mes,2,93,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Juan Montalvo, Ciudad Universitaria, Madrid",4.000€/mes,5,150,Planta 2ª exterior con ascensor,"Ciudad Universitaria, Madrid"
"Dúplex en Calle de las Matas, 13, Berruguete, Madrid",1.700€/mes,1,50,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Estudio en Calle de Bravo Murillo, Cuzco-Castillejos, Madrid",1.100€/mes,N/A,30,N/A,"Cuzco-Castillejos, Madrid"
"Piso en Calle Luis Portones, 1, Berruguete, Madrid",1.600€/mes,2,85,Planta 5ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Carlos Latorre, Bellas Vistas, Madrid",1.300€/mes,1,43,N/A,"Bellas Vistas, Madrid"
"Piso en Calle Alonso Castrillo, Cuzco-Castillejos, Madrid",2.100€/mes,2,75,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Estudio en Calle Istúriz, 14, Cuatro Caminos, Madrid",1.255€/mes,N/A,60,Bajo exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de la Infanta Mercedes, 98, Cuzco-Castillejos, Madrid",1.540€/mes,2,77,Planta 13ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle Esperanza Sánchez Carrascosa, Valdeacederas, Madrid",3.100€/mes,4,115,N/A,"Valdeacederas, Madrid"
"Estudio en Avenida de la Reina Victoria, Vallehermoso, Madrid",1.400€/mes,N/A,32,Planta 1ª exterior con ascensor,"Vallehermoso, Madrid"
"Piso en Calle de Teruel, 40, Cuatro Caminos, Madrid",1.385€/mes,1,35,Bajo interior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Cuenca, 4, Cuatro Caminos, Madrid",950€/mes,1,30,Planta 3ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Don Quijote, 22, Cuatro Caminos, Madrid",1.400€/mes,1,50,Planta 1ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Luis Missón, 5, Berruguete, Madrid",1.300€/mes,1,60,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Estudio en Calle de Lérida, Cuzco-Castillejos, Madrid",1.300€/mes,N/A,35,N/A,"Cuzco-Castillejos, Madrid"
"Piso en Cuatro Caminos, Madrid",2.280€/mes,3,84,Bajo exterior con ascensor,Madrid
"Piso en Calle de Guipúzcoa, 12, Cuatro Caminos, Madrid",2.400€/mes,2,97,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle Don Quijote, s/n, Cuatro Caminos, Madrid",1.200€/mes,N/A,45,Planta 2ª interior sin ascensor,"s/n, Cuatro Caminos, Madrid"
"Piso en Calle de Lérida, 12, Cuatro Caminos, Madrid",1.700€/mes,2,73,Planta 3ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Ofelia Nieto, Berruguete, Madrid",1.700€/mes,3,90,Bajo interior con ascensor,"Berruguete, Madrid"
"Ático en Calle del Pensamiento, Cuzco-Castillejos, Madrid",2.400€/mes,3,106,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Estudio en Calle de Bravo Murillo, 119, Bellas Vistas, Madrid",1.195€/mes,N/A,46,Planta 4ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Paseo de la Dirección, s/n, Valdeacederas, Madrid",2.090€/mes,1,61,Planta 7ª exterior con ascensor,"s/n, Valdeacederas, Madrid"
"Piso en Calle Pinos Alta, Ventilla-Almenara, Madrid",2.100€/mes,2,70,Bajo exterior con ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle Pinos Alta, Ventilla-Almenara, Madrid",2.300€/mes,2,65,Planta 3ª exterior con ascensor,"Ventilla-Almenara, Madrid"
"Piso en Avenida Doctor Federico Rubio y Gali, s/n, Bellas Vistas, Madrid",1.255€/mes,2,65,Planta 9ª exterior con ascensor,"s/n, Bellas Vistas, Madrid"
"Piso en Calle Pinos Alta, Ventilla-Almenara, Madrid",1.750€/mes,1,45,Planta 1ª exterior con ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle de Treviño, Nuevos Ministerios-Ríos Rosas, Madrid",1.395€/mes,1,39,Planta 2ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Plaza de la Condesa de Gavia, Cuatro Caminos, Madrid",1.690€/mes,2,92,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Pinos Alta, 28029, Madrid, Ventilla-Almenara, Madrid",1.800€/mes,1,70,Planta 1ª exterior con ascensor,"Madrid, Ventilla-Almenara, Madrid"
"Piso en Calle de la Miosotis, Valdeacederas, Madrid",1.850€/mes,2,64,Planta 1ª exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Molina, Ventilla-Almenara, Madrid",1.290€/mes,2,50,Planta 2ª exterior sin ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle de Salamanca, Cuatro Caminos, Madrid",2.400€/mes,2,135,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Bravo Murillo, Cuatro Caminos, Madrid",4.200€/mes,4,120,Planta 1ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle de Ceferino Rodríguez, Valdeacederas, Madrid",900€/mes,N/A,31,Bajo exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle del Aviador Zorita, 6, Cuatro Caminos, Madrid",1.400€/mes,2,72,Planta 4ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Sánchez Preciado, Valdezarza, Madrid",1.000€/mes,1,45,Bajo exterior con ascensor,"Valdezarza, Madrid"
"Piso en Calle de Teruel, 41, Cuatro Caminos, Madrid",1.450€/mes,2,60,Bajo exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.175€/mes,3,10,N/A,"Cuzco-Castillejos, Madrid"
"Estudio en Calle de Raimundo Fernández Villaverde, 45, Cuatro Caminos, Madrid",1.100€/mes,N/A,20,Planta 1ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Topete, 14, Bellas Vistas, Madrid",1.400€/mes,1,40,Planta 3ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Pedro Barreda, 10, Bellas Vistas, Madrid",2.510€/mes,3,100,Planta 2ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en CL Moguer, Ciudad Universitaria, Madrid",1.750€/mes,3,91,Planta 1ª exterior con ascensor,"Ciudad Universitaria, Madrid"
"Estudio en Calle Esperanza Sánchez Carrascosa, Valdeacederas, Madrid",1.050€/mes,N/A,45,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle Baracaldo, Valdeacederas, Madrid",1.490€/mes,2,88,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de los Jaramagos, Valdeacederas, Madrid",1.150€/mes,2,50,Planta 1ª exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Molina, Ventilla-Almenara, Madrid",1.550€/mes,2,50,Planta 3ª exterior sin ascensor,"Ventilla-Almenara, Madrid"
"Estudio en Cuatro Caminos, Madrid",1.175€/mes,N/A,35,Planta 1ª exterior sin ascensor,Madrid
"Estudio en Calle de Ana María, Valdeacederas, Madrid",770€/mes,N/A,33,N/A,"Valdeacederas, Madrid"
"Piso en Calle de los Artistas, Cuatro Caminos, Madrid",1.335€/mes,1,40,Planta 1ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Montoya, Ventilla-Almenara, Madrid",850€/mes,1,40,Planta 2ª exterior sin ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle de Jaén, Cuatro Caminos, Madrid",2.600€/mes,4,143,Planta 7ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Topete, Bellas Vistas, Madrid",1.100€/mes,2,35,Planta 2ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle del Poeta Joan Maragall, Cuzco-Castillejos, Madrid",1.700€/mes,3,88,Planta 15ª interior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Callejón San Rafael, 7, Berruguete, Madrid",1.650€/mes,3,60,Planta 3ª exterior sin ascensor,"Berruguete, Madrid"
"Ático en CL Bravo Murillo, 120, Cuatro Caminos, Madrid",1.850€/mes,2,170,Planta 7ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle Hermano Gárate, Cuzco-Castillejos, Madrid",1.100€/mes,N/A,28,Bajo exterior sin ascensor,"Cuzco-Castillejos, Madrid"
"Piso en CL Salamanca, 24, Cuatro Caminos, Madrid",2.300€/mes,2,132,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Almansa, 7, Bellas Vistas, Madrid",1.484€/mes,1,46,Planta 1ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Dúplex en Calle de Hernani, Cuatro Caminos, Madrid",1.500€/mes,2,55,Bajo interior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Ofelia Nieto, Valdezarza, Madrid",1.550€/mes,2,67,Planta 2ª exterior,"Valdezarza, Madrid"
"Piso en Calle de Montoya, Ventilla-Almenara, Madrid",1.195€/mes,1,35,Planta 2ª exterior sin ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle de Carlos Rubio, Bellas Vistas, Madrid",1.735€/mes,2,60,Planta 3ª interior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Raimundo Fernández Villaverde, Nuevos Ministerios-Ríos Rosas, Madrid",3.000€/mes,3,152,Planta 6ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de los Artistas, Cuatro Caminos, Madrid",1.690€/mes,2,55,N/A,"Cuatro Caminos, Madrid"
"Piso en Calle Esperanza Sánchez Carrascosa, Valdeacederas, Madrid",1.440€/mes,2,80,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Dulcinea, 65, Cuatro Caminos, Madrid",1.150€/mes,1,45,Planta 3ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de la Alfalfa, Valdeacederas, Madrid",2.430€/mes,2,82,Bajo exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Jaén, Cuatro Caminos, Madrid",1.900€/mes,3,85,Planta 2ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle de las Margaritas, Berruguete, Madrid",825€/mes,N/A,40,Bajo exterior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de Montoya, Ventilla-Almenara, Madrid",1.290€/mes,1,40,Planta 2ª exterior sin ascensor,"Ventilla-Almenara, Madrid"
"Ático en Calle de Asunción Castell, 5, Cuatro Caminos, Madrid",1.600€/mes,2,85,Planta 5ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Villaamil, Berruguete, Madrid",1.190€/mes,1,29,Planta 1ª interior con ascensor,"Berruguete, Madrid"
"Piso en Calle de los Bascones, Ventilla-Almenara, Madrid",1.200€/mes,2,80,Planta 1ª exterior con ascensor,"Ventilla-Almenara, Madrid"
"Estudio en Calle de Bravo Murillo, Cuzco-Castillejos, Madrid",1.425€/mes,N/A,25,Planta 2ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Nuestra Señora del Carmen, Berruguete, Madrid",1.100€/mes,1,50,Bajo exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Carlos Rubio, Bellas Vistas, Madrid",1.190€/mes,2,60,Planta 3ª interior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Juan del Risco, Berruguete, Madrid",1.650€/mes,3,88,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de las Matas, Berruguete, Madrid",1.650€/mes,1,44,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Castilla, Bellas Vistas, Madrid",1.070€/mes,1,30,Planta 3ª interior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de la Alfalfa, Valdeacederas, Madrid",3.105€/mes,3,95,Planta 2ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle Veza, 8, Valdeacederas, Madrid",1.100€/mes,1,43,Bajo exterior sin ascensor,"Valdeacederas, Madrid"
"Piso en Calle de la Alfalfa, Valdeacederas, Madrid",2.835€/mes,3,90,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Ático en Calle Marques de Viana, 18, Valdeacederas, Madrid",1.600€/mes,2,90,Planta 6ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de Martínez, Berruguete, Madrid",1.100€/mes,1,54,Planta 2ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Castilla, Bellas Vistas, Madrid",880€/mes,1,30,Planta 3ª interior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Avila, Cuatro Caminos, Madrid",1.550€/mes,2,101,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Paseo de la Dirección, 8, Berruguete, Madrid",1.090€/mes,1,52,Bajo interior sin ascensor,"Berruguete, Madrid"
